"",sample,TF,activity,delta,mean_r,r,score,name,drug
"95",CPC017_A549_6H:BRD-K17896185-001-01-2:10,P15976,0.8329367,-0.122954756,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,CCC(=O)N(C1CCN(CCc2ccc(cc2)N=C=S)CC1)c1ccccc1
"96",CPC017_A549_6H:BRD-K53857191-001-05-2:10,P15976,0.8239698,-0.108237,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,Cc1nc2CCCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12
"97",CPC013_A549_6H:BRD-K56334280-001-01-0:10,Q00978,0.7746786,-0.11260995,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CN(C)CCN1C(=O)c2cccc3cc(N)cc(C1=O)c23
"98",CPC014_A549_6H:BRD-K01253243-001-01-4:10,Q00978,0.06210597,0.11308463,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CN(C)CCOc1ccc(cc1)-c1nc(c([nH]1)-c1ccc2c(CC\C2=N\O)c1)-c1ccncc1
"99",CPC014_A549_6H:BRD-K01436366-001-02-4:10,Q00978,0.06780478,0.1276797,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,COc1cc(ccc1Nc1ncc2N(C)C(=O)c3ccccc3N(C)c2n1)C(=O)N1CCC(CC1)N1CCN(C)CC1
"100",CPC014_A549_6H:BRD-K13514097-001-01-2:10,Q00978,0.02577308,0.11074102,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OCCO
"101",CPC014_A549_6H:BRD-K14880289-001-01-4:10,Q00978,0.07119915,0.10032463,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,Cc1nc(sc1CSc1ccc(OCC(O)=O)c(C)c1)-c1ccc(cc1)C(F)(F)F
"102",CPC014_A549_6H:BRD-K99616396-001-01-0:10,Q00978,0.07482102,0.12630814,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc12
"103",CPC016_A549_6H:BRD-A64227845-004-02-8:10,Q00978,0.02826468,0.113377556,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,Oc1cc2CCN(CC=C)CC(c3ccccc3)c2cc1O
"104",CPC016_A549_6H:BRD-A80641450-001-01-4:10,Q00978,0.04823851,0.10818304,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CC(C)CC(NC(=O)N1CCCCCC1)C(=O)NC(Cc2cn(C)c3ccccc23)C(=O)NC(Cc4ccccn4)C(=O)O
"105",CPC016_A549_6H:BRD-A82590476-001-01-1:10,Q00978,0.05734843,0.111985356,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CN(Cc1ccccc1)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)C4CCCN4C(=O)Nc5ccccc5[N+](=O)[O-]
"106",CPC016_A549_6H:BRD-K04111260-001-05-0:10,Q00978,0.04005165,0.11035678,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC
"107",CPC016_A549_6H:BRD-K05528470-305-01-4:10,Q00978,0.07926147,0.11656746,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,Clc1ccc(cc1)N1CCN(Cc2c[nH]c3ncccc23)CC1
"108",CPC016_A549_6H:BRD-K22010301-001-01-2:10,Q00978,0.03804309,0.11591907,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,COc1oc(=O)c2cc(N)ccc2c1Cl
"109",CPC016_A549_6H:BRD-K28453807-003-05-4:10,Q00978,0.02059572,0.114850745,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CCN(CC)CCOC(=O)C1(CCCC1)c1ccc(cc1)[N+]([O-])=O
