model,cell,TF,r
Ensembles,HCC515,P56693,0.270861205911908
Ensembles,HCC515,P58012,0.364139014550918
Ensembles,HCC515,P84022,0.387113188731123
Ensembles,HCC515,P98177,0.292005112742675
Ensembles,HCC515,Q00613,-0.102795684492695
Ensembles,HCC515,Q00653,0.0786976521477097
Ensembles,HCC515,Q00978,0.421277009873418
Ensembles,HCC515,Q01094,0.42064464630018
Ensembles,HCC515,Q01196,0.418053004257459
Ensembles,HCC515,Q01201,0.453505641222508
Ensembles,HCC515,Q01543,0.265716339656177
Ensembles,HCC515,Q02447,-0.108338055493489
Ensembles,HCC515,Q04206,0.547531152054367
Ensembles,HCC515,Q04864,0.530336163451406
Ensembles,HCC515,Q06710,0.192858563025187
Ensembles,HCC515,Q07869,0.48873730238074
Ensembles,HCC515,Q08050,0.317051361647235
Ensembles,HCC515,Q12772,-0.359618188205698
Ensembles,HCC515,Q12778,0.331044823168433
Ensembles,HCC515,Q13127,0.620723477938466
Ensembles,HCC515,Q13469,0.515159103805875
Ensembles,HCC515,Q13485,0.585582879851198
Ensembles,HCC515,Q13761,0.639359604291441
Ensembles,HCC515,Q14186,0.20835566768886
Ensembles,HCC515,Q14209,0.348273106351833
Ensembles,HCC515,Q14765,0.268896305274844
Ensembles,HCC515,Q15672,0.296454243217767
Ensembles,HCC515,Q16236,0.466454436441412
Ensembles,HCC515,Q16665,0.206666630351438
Ensembles,HCC515,Q92731,0.231276619549634
Ensembles,HCC515,Q99626,-0.0896289228644758
Ensembles,HCC515,Q99814,0.572111515550001
Ensembles,HCC515,Q9H3D4,0.405775593866292
Ensembles,HCC515,Q9NQB0,0.642052308851899
Ensembles,HCC515,Q9UJU2,0.387616165108366
Ensembles,HCC515,Q9Y261,0.306495661134313
Ensembles,HEPG2,O00327,-0.0516274548288621
Ensembles,HEPG2,O00716,0.449403699761416
Ensembles,HEPG2,O14593,0.640651088305767
Ensembles,HEPG2,O43524,0.385551568197566
Ensembles,HEPG2,O75030,0.107751955626951
Ensembles,HEPG2,P01100,0.501853833063271
Ensembles,HEPG2,P01106,0.607519751319897
Ensembles,HEPG2,P03372,0.501984197702086
Ensembles,HEPG2,P04150,0.165563815426641
Ensembles,HEPG2,P04637,0.388984789245042
Ensembles,HEPG2,P05412,0.455268830384505
Ensembles,HEPG2,P05549,0.571779766806232
Ensembles,HEPG2,P06401,-0.0389695748056837
Ensembles,HEPG2,P08047,0.453953144254946
Ensembles,HEPG2,P08651,0.0779865260328137
Ensembles,HEPG2,P10070,0.110370300795203
Ensembles,HEPG2,P10242,0.249982304466592
Ensembles,HEPG2,P10275,-0.034822339715418
Ensembles,HEPG2,P10276,0.293425156449798
Ensembles,HEPG2,P10914,0.649111848174835
Ensembles,HEPG2,P11308,0.359265645901616
Ensembles,HEPG2,P11473,-0.0291003744175291
Ensembles,HEPG2,P11831,0.382059785399688
Ensembles,HEPG2,P14859,0.379891629561948
Ensembles,HEPG2,P14921,0.280752097205635
Ensembles,HEPG2,P15036,0.298955621183887
Ensembles,HEPG2,P15336,0.228763444014352
Ensembles,HEPG2,P15407,-0.119953930238059
Ensembles,HEPG2,P15923,0.183663680453919
Ensembles,HEPG2,P15976,0.619016110927494
Ensembles,HEPG2,P16220,0.613768983031072
Ensembles,HEPG2,P17535,0.487501693436553
Ensembles,HEPG2,P17542,0.332089665970961
Ensembles,HEPG2,P17676,0.613025391710901
Ensembles,HEPG2,P17947,0.554382946535506
Ensembles,HEPG2,P18146,0.307568960655816
Ensembles,HEPG2,P18846,0.697276762122128
Ensembles,HEPG2,P18848,0.465595333372626
Ensembles,HEPG2,P18850,-0.0212191959405735
Ensembles,HEPG2,P19419,0.555018475395516
Ensembles,HEPG2,P19544,0.444948456117419
Ensembles,HEPG2,P19793,0.366484005556546
Ensembles,HEPG2,P19838,0.440513226215718
Ensembles,HEPG2,P22415,0.140042666927064
Ensembles,HEPG2,P23511,0.306543612194409
Ensembles,HEPG2,P23769,0.370187495699334
Ensembles,HEPG2,P23771,0.387341998744332
Ensembles,HEPG2,P25490,0.138322928880254
Ensembles,HEPG2,P26367,0.475863967916726
Ensembles,HEPG2,P36956,0.041504100640638
Ensembles,HEPG2,P37231,-0.059558940502629
Ensembles,HEPG2,P37275,0.0734929853610083
Ensembles,HEPG2,P40763,0.568014033336171
Ensembles,HEPG2,P41235,0.0599531496166959
Ensembles,HEPG2,P42224,0.43394400223914
Ensembles,HEPG2,P42226,0.383355322032914
Ensembles,HEPG2,P42229,0.323368866408545
Ensembles,HEPG2,P48382,0.628271510299176
Ensembles,HEPG2,P48431,-0.138023919192047
Ensembles,HEPG2,P48436,-0.0207759759910214
Ensembles,HEPG2,P49715,-0.0954168243787307
Ensembles,HEPG2,P49716,0.438056365551345
Ensembles,HEPG2,P51692,0.384165027956994
Ensembles,HEPG2,P52630,0.556199096303867
Ensembles,HEPG2,P55317,0.103118242741985
Ensembles,HEPG2,P56693,-0.0736675696706117
Ensembles,HEPG2,P58012,0.318280834890959
Ensembles,HEPG2,P84022,0.518688119249273
Ensembles,HEPG2,P98177,0.296290496054308
Ensembles,HEPG2,Q00613,0.325464692981461
Ensembles,HEPG2,Q00653,0.347801817880621
Ensembles,HEPG2,Q00978,0.505254560592234
Ensembles,HEPG2,Q01094,0.541061148821164
Ensembles,HEPG2,Q01196,0.303348347044203
Ensembles,HEPG2,Q01201,0.448425400678965
Ensembles,HEPG2,Q01543,-0.145506315504498
Ensembles,HEPG2,Q02447,-0.0291477878659857
Ensembles,HEPG2,Q04206,0.260921048074677
Ensembles,HEPG2,Q04864,0.334933650682557
Ensembles,HEPG2,Q06710,0.329291614851037
Ensembles,HEPG2,Q07869,0.0257937675916136
Ensembles,HEPG2,Q08050,0.514180602318856
Ensembles,HEPG2,Q12772,-0.254435760160591
Ensembles,HEPG2,Q12778,-0.0117306124300015
Ensembles,HEPG2,Q13127,0.169681463576042
Ensembles,HEPG2,Q13469,0.607080269113142
Ensembles,HEPG2,Q13485,0.702938109349051
Ensembles,HEPG2,Q13761,0.383432862810437
Ensembles,HEPG2,Q14186,0.010933397995296
Ensembles,HEPG2,Q14209,0.651886060824569
Ensembles,HEPG2,Q14765,0.301772400323296
Ensembles,HEPG2,Q15672,0.0351781194624864
Ensembles,HEPG2,Q16236,0.279161108059492
Ensembles,HEPG2,Q16665,0.225929664356604
Ensembles,HEPG2,Q92731,0.227969596908385
Ensembles,HEPG2,Q99626,0.141130807419137
Ensembles,HEPG2,Q99814,0.229949816971754
Ensembles,HEPG2,Q9H3D4,0.171822158108126
Ensembles,HEPG2,Q9NQB0,0.00260864718400183
Ensembles,HEPG2,Q9UJU2,0.311652253441282
Ensembles,HEPG2,Q9Y261,0.239635221157235
Ensembles,HT29,O00327,0.110674474773411
Ensembles,HT29,O00716,0.588208375012267
Ensembles,HT29,O14593,0.328495079437522
Ensembles,HT29,O43524,0.610842974175218
Ensembles,HT29,O75030,0.369506683314216
Ensembles,HT29,P01100,0.303506968089872
Ensembles,HT29,P01106,0.608950776363371
Ensembles,HT29,P03372,0.281864211255787
Ensembles,HT29,P04150,0.373148105259476
Ensembles,HT29,P04637,0.399237318262489
Ensembles,HT29,P05412,0.245402118202082
Ensembles,HT29,P05549,0.340299652405963
Ensembles,HT29,P06401,0.261467051502105
Ensembles,HT29,P08047,0.650876903518386
Ensembles,HT29,P08651,-0.00921256885321998
Ensembles,HT29,P10070,0.225145709693202
Ensembles,HT29,P10242,0.516811485860102
Ensembles,HT29,P10275,0.639420857944091
Ensembles,HT29,P10276,0.482386875572719
Ensembles,HT29,P10914,0.649410077185798
Ensembles,HT29,P11308,0.207211663592403
Ensembles,HT29,P11473,0.126675137124494
Ensembles,HT29,P11831,0.318420389408111
Ensembles,HT29,P14859,0.529938069150426
Ensembles,HT29,P14921,0.460197168945384
Ensembles,HT29,P15036,0.353613904496863
Ensembles,HT29,P15336,0.353788817412786
Ensembles,HT29,P15407,0.2337896829571
Ensembles,HT29,P15923,0.00304586122935088
Ensembles,HT29,P15976,0.648550355961901
Ensembles,HT29,P16220,0.432044814332152
Ensembles,HT29,P17535,0.404816990796159
Ensembles,HT29,P17542,0.623336347181526
Ensembles,HT29,P17676,0.338200957262089
Ensembles,HT29,P17947,0.615325428880128
Ensembles,HT29,P18146,0.141474701592161
Ensembles,HT29,P18846,0.455430362733241
Ensembles,HT29,P18848,0.442258097221014
Ensembles,HT29,P18850,0.20246372599748
Ensembles,HT29,P19419,0.217218500067562
Ensembles,HT29,P19544,0.153668915950656
Ensembles,HT29,P19793,0.0209745211672493
Ensembles,HT29,P19838,0.345071211978069
Ensembles,HT29,P22415,0.208072962186471
Ensembles,HT29,P23511,-0.249210775769752
Ensembles,HT29,P23769,0.559975723843883
Ensembles,HT29,P23771,0.429739886343665
Ensembles,HT29,P25490,0.377834778879941
Ensembles,HT29,P26367,0.0267605051635875
Ensembles,HT29,P36956,0.395310988870217
Ensembles,HT29,P37231,0.304098651450588
Ensembles,HT29,P37275,0.354066575565187
Ensembles,HT29,P40763,0.292437175195417
Ensembles,HT29,P41235,0.529647073018084
Ensembles,HT29,P42224,0.60946718405517
Ensembles,HT29,P42226,0.405127232272453
Ensembles,HT29,P42229,0.164311570070797
Ensembles,HT29,P48382,0.313769417884911
Ensembles,HT29,P48431,0.0500569082571691
Ensembles,HT29,P48436,0.19139785599936
Ensembles,HT29,P49715,0.0815928106720362
Ensembles,HT29,P49716,-0.146346193750274
Ensembles,HT29,P51692,0.0876326666670014
Ensembles,HT29,P52630,0.587985318672714
Ensembles,HT29,P55317,0.556836522046267
Ensembles,HT29,P56693,-0.0180372841247313
Ensembles,HT29,P58012,0.279195096990439
Ensembles,HT29,P84022,0.0286353168874718
Ensembles,HT29,P98177,0.594945649197558
Ensembles,HT29,Q00613,0.211198323637543
Ensembles,HT29,Q00653,0.257589271719488
Ensembles,HT29,Q00978,0.524185820884107
Ensembles,HT29,Q01094,0.40870562549147
Ensembles,HT29,Q01196,0.279307501127029
Ensembles,HT29,Q01201,-0.0370890483928236
Ensembles,HT29,Q01543,0.154894294476282
Ensembles,HT29,Q02447,0.341457320597058
Ensembles,HT29,Q04206,0.211175007310983
Ensembles,HT29,Q04864,0.351836506876506
Ensembles,HT29,Q06710,0.0829888677256993
Ensembles,HT29,Q07869,0.126224113519856
Ensembles,HT29,Q08050,0.623306701936629
Ensembles,HT29,Q12772,0.218695082363144
Ensembles,HT29,Q12778,0.425384179629892
Ensembles,HT29,Q13127,0.37060488406728
Ensembles,HT29,Q13469,0.490584783452879
Ensembles,HT29,Q13485,0.568450980420329
Ensembles,HT29,Q13761,0.443898106058595
Ensembles,HT29,Q14186,0.462478412146405
Ensembles,HT29,Q14209,0.687511823506639
Ensembles,HT29,Q14765,0.777709554958301
Ensembles,HT29,Q15672,0.17925553579693
Ensembles,HT29,Q16236,0.288836429551455
