"","smile","sig_id"
"105","CNC(=O)Nc1ccc(cc1)-c1nc(N2CC3CCC(C2)O3)c2cnn(C3CCC4(CC3)OCCO4)c2n1","CPC014_HT29_6H:BRD-A45498368-001-02-2:10"
"106","CNC(=O)Nc1ccc(cc1)-c1nc(N2CC3CCC(C2)O3)c2cnn(C3CCC4(CC3)OCCO4)c2n1","CPC014_PC3_6H:BRD-A45498368-001-02-2:10"
"107","CNC(=O)Nc1ccc(cc1)-c1nc(N2CC3CCC(C2)O3)c2cnn(C3CCC4(CC3)OCCO4)c2n1","CPC014_VCAP_6H:BRD-A45498368-001-02-2:10"
"108","CNC(=O)Nc1ccc(cc1)-c1nc(N2CC3CCC(C2)O3)c2cnn(C3CCC4(CC3)OCCO4)c2n1","LJP001_MCF7_6H:BRD-A45498368-001-03-0:10"
"109","COc1cc(OC)c(/C=C\2/C(=O)Nc3ccccc23)c(OC)c1","CPC001_HA1E_6H:BRD-K09638361-001-01-4:10"
"110","COc1cc(OC)c(/C=C\2/C(=O)Nc3ccccc23)c(OC)c1","CPC001_HCC515_6H:BRD-K09638361-001-01-4:10"
"111","COc1cc(OC)c(/C=C\2/C(=O)Nc3ccccc23)c(OC)c1","CPC001_PC3_6H:BRD-K09638361-001-01-4:10"
"112","COc1cc(OC)c(/C=C\2/C(=O)Nc3ccccc23)c(OC)c1","CPC001_VCAP_6H:BRD-K09638361-001-01-4:10"
"113","COc1cc(OC)c(/C=C\2/C(=O)Nc3ccccc23)c(OC)c1","CPC017_A375_6H:BRD-K09638361-001-01-4:10"
"114","COc1cc(OC)c(/C=C\2/C(=O)Nc3ccccc23)c(OC)c1","CPC017_A549_6H:BRD-K09638361-001-01-4:10"
"115","COc1cc(OC)c(/C=C\2/C(=O)Nc3ccccc23)c(OC)c1","CPC017_HEPG2_6H:BRD-K09638361-001-01-4:10"
"116","COc1cc(OC)c(/C=C\2/C(=O)Nc3ccccc23)c(OC)c1","CPC017_HT29_6H:BRD-K09638361-001-01-4:10"
"117","COc1cc(OC)c(/C=C\2/C(=O)Nc3ccccc23)c(OC)c1","MUC.CP004_MCF7_6H:BRD-K09638361-001-01-4:3.3333"
"118","Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14","CPC002_HA1E_6H:BRD-K04146668-001-01-3:10"
"119","Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14","CPC002_HCC515_6H:BRD-K04146668-001-01-3:10"
"120","Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14","CPC002_PC3_6H:BRD-K04146668-001-01-3:10"
"121","Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14","CPC002_VCAP_6H:BRD-K04146668-001-01-3:10"
"122","Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14","CPC016_A375_6H:BRD-K04146668-001-01-3:10"
"123","Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14","CPC016_A549_6H:BRD-K04146668-001-01-3:10"
"124","Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14","CPC016_HEPG2_6H:BRD-K04146668-001-01-3:10"
"125","Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14","CPC016_HT29_6H:BRD-K04146668-001-01-3:10"
"126","Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14","CPC016_MCF7_6H:BRD-K04146668-001-01-3:10"
"127","CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1","CPC014_A375_6H:BRD-K71035033-001-01-4:10"
"128","CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1","CPC014_A549_6H:BRD-K71035033-001-01-4:10"
"129","CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1","CPC014_HA1E_6H:BRD-K71035033-001-01-4:10"
"130","CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1","CPC014_HCC515_6H:BRD-K71035033-001-01-4:10"
