	PC3	MCF7	A375	HA1E	HCC515	VCAP	HEPG2	HT29	A549
CPC017_HT29_6H:BRD-K00486786-001-01-4:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K00486786-001-01-4:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K04414442-001-03-4:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K04414442-001-03-4:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K04414442-001-03-4:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K04414442-001-03-4:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K04414442-001-03-4:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K04414442-001-03-4:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K04414442-001-03-4:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K04414442-001-03-4:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K04414442-001-03-4:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K05151076-001-01-8:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K05151076-001-01-8:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K05151076-001-01-8:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K05151076-001-01-8:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K05151076-001-01-8:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K05151076-001-01-8:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K05151076-001-01-8:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K05151076-001-01-8:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K05151076-001-01-8:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K05181084-003-02-9:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K05181084-003-02-9:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K05181084-003-02-9:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K05181084-003-02-9:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K05181084-003-02-9:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K05181084-003-02-9:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K05181084-003-02-9:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K05181084-003-02-9:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K05181084-003-02-9:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K09635314-001-01-8:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K09635314-001-01-8:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K09635314-001-01-8:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K09635314-001-01-8:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K09635314-001-01-8:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K09635314-001-01-8:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K09635314-001-01-8:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K09635314-001-01-8:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K09635314-001-01-8:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K09638361-001-01-4:10	1	0	0	0	0	0	0	0	0
MUC.CP004_MCF7_6H:BRD-K09638361-001-01-4:3.3333	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K09638361-001-01-4:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K09638361-001-01-4:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K09638361-001-01-4:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K09638361-001-01-4:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K09638361-001-01-4:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K09638361-001-01-4:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K09638361-001-01-4:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K10177585-003-01-6:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K10177585-003-01-6:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K10177585-003-01-6:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K10177585-003-01-6:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K10177585-003-01-6:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K10177585-003-01-6:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K10177585-003-01-6:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K10177585-003-01-6:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K10177585-003-01-6:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K11373525-003-01-3:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K11373525-003-01-3:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K11373525-003-01-3:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K11373525-003-01-3:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K11373525-003-01-3:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K11373525-003-01-3:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K11373525-003-01-3:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K11373525-003-01-3:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K11373525-003-01-3:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K11911061-003-02-8:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K11911061-003-02-8:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K11911061-003-02-8:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K11911061-003-02-8:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K11911061-003-02-8:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K11911061-003-02-8:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K11911061-003-02-8:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K11911061-003-02-8:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K11911061-003-02-8:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K12120659-305-01-4:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K12120659-305-01-4:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K12120659-305-01-4:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K12120659-305-01-4:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K12120659-305-01-4:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K12120659-305-01-4:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K12120659-305-01-4:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K12120659-305-01-4:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K12120659-305-01-4:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K12244279-001-01-7:10	1	0	0	0	0	0	0	0	0
CPC018_MCF7_6H:BRD-K12244279-001-02-5:10	0	1	0	0	0	0	0	0	0
CPC018_A375_6H:BRD-K12244279-001-02-5:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K12244279-001-01-7:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K12244279-001-01-7:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K12244279-001-01-7:10	0	0	0	0	0	1	0	0	0
CPC018_HEPG2_6H:BRD-K12244279-001-02-5:10	0	0	0	0	0	0	1	0	0
CPC018_HT29_6H:BRD-K12244279-001-02-5:10	0	0	0	0	0	0	0	1	0
CPC018_A549_6H:BRD-K12244279-001-02-5:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K14618467-003-01-8:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K14618467-003-01-8:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K14618467-003-01-8:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K14618467-003-01-8:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K14618467-003-01-8:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K14618467-003-01-8:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K14618467-003-01-8:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K14618467-003-01-8:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K14618467-003-01-8:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K15086322-103-01-0:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K15086322-103-01-0:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K15086322-103-01-0:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K15086322-103-01-0:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K15086322-103-01-0:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K15086322-103-01-0:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K15086322-103-01-0:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K15086322-103-01-0:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K15086322-103-01-0:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K15791587-003-01-7:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K15791587-003-01-7:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K15791587-003-01-7:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K15791587-003-01-7:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K15791587-003-01-7:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K15791587-003-01-7:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K15791587-003-01-7:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K15791587-003-01-7:10	0	0	0	0	0	0	0	1	0
